checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0,-0.738667542842371,3,6,-0.6040629515103602,2,0,-1.7645135849361147,0,2,-1.6724592395536968,0,-1.1914039404570154,1,1,-0.7049259983890862,1,-0.4282895663715403,1,1,1
1,0.2569530922366421,1,4,-0.734498112240609,2,3,0.9184771676276685,3,2,1.0469866784197936,0,2.1507893075399274,1,1,1.0270789116578085,3,-0.4282895663715403,0,1,0
1,-0.4897623840726178,3,4,-0.6621916644444927,2,0,-0.8701833340815202,0,2,1.0469866784197936,0,-0.6636892170890771,1,2,-0.7049259983890862,1,-0.4282895663715403,0,1,1
1,0.2569530922366421,3,6,-0.7050793124019931,0,0,0.9184771676276685,0,2,-0.7659772668958666,0,-0.3118794015104515,1,1,-0.7049259983890862,3,-0.4282895663715403,0,1,0
3,0.2569530922366421,1,6,-0.30030498209236195,4,3,0.9184771676276685,3,2,1.0469866784197936,1,1.5351221302773328,1,1,1.0270789116578085,1,-0.4282895663715403,0,1,1
1,0.7547634097761486,4,0,1.701591180419719,4,2,-0.8701833340815202,3,2,0.1405047057619635,0,-0.9275465787730462,0,1,2.7590838217047033,1,-0.4282895663715403,0,1,1
0,0.2569530922366421,3,9,3.2990674559937188,2,3,0.9184771676276685,0,2,-0.7659772668958666,2,0.7435500452254252,1,0,-0.7049259983890862,0,-0.4282895663715403,1,1,0
3,0.2569530922366421,3,6,0.056265049686524994,1,3,0.024146916773074168,3,2,-0.7659772668958666,0,-0.3998318554051079,1,1,-0.7049259983890862,1,2.3348689263480744,1,1,1
3,-0.9875727016121243,1,4,-0.4030935598417429,2,0,0.9184771676276685,3,2,1.0469866784197936,0,1.0953598608040507,1,1,2.7590838217047033,1,-0.4282895663715403,1,1,1
1,-1.2364778603818776,3,6,-0.22126411023680354,1,0,-0.8701833340815202,3,2,0.1405047057619635,3,0.7435500452254252,1,2,-0.7049259983890862,1,2.3348689263480744,0,1,1
1,-0.9046043153555399,1,4,-0.3651681190859368,2,2,-1.7645135849361147,3,2,0.1405047057619635,3,1.0953598608040507,1,2,1.0270789116578085,3,2.3348689263480744,0,0,1
0,-0.738667542842371,1,9,-0.5200598724531074,0,2,0.024146916773074168,3,2,1.0469866784197936,1,0.7435500452254252,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1,1
3,-0.9046043153555399,1,3,-0.4261323789924662,4,0,-0.8701833340815202,2,2,-1.6724592395536968,0,-0.8395941248783899,1,1,1.0270789116578085,1,-0.4282895663715403,0,0,1
1,-1.2364778603818776,3,3,-0.6724705222194308,2,0,-1.7645135849361147,3,2,-0.7659772668958666,3,0.03993041406817406,0,1,-0.7049259983890862,3,-0.4282895663715403,1,1,1
3,-1.2364778603818776,4,6,-1.0084828384484417,2,3,0.9184771676276685,2,2,1.0469866784197936,0,0.3037877757521432,1,1,-0.7049259983890862,3,-0.4282895663715403,0,1,1
2,-0.738667542842371,0,6,-1.0145083757647846,3,0,0.024146916773074168,0,2,0.1405047057619635,3,0.5676451374361124,1,2,1.0270789116578085,1,-0.4282895663715403,0,1,1
0,-1.1535094741252931,3,6,-0.3034949724363083,2,0,0.024146916773074168,3,1,-0.7659772668958666,3,-0.13597449372113873,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1,1
1,3.2438149974736814,2,0,1.2634991731844265,2,3,0.024146916773074168,3,2,1.0469866784197936,2,2.4146466692238966,1,1,1.0270789116578085,1,-0.4282895663715403,1,1,0
0,-0.2408572253028645,3,0,-0.48142554495420214,3,2,0.024146916773074168,2,2,0.1405047057619635,3,0.03993041406817406,0,1,-0.7049259983890862,1,-0.4282895663715403,1,1,1
1,0.2569530922366421,3,3,0.26538663890078273,2,0,-0.8701833340815202,3,2,-0.7659772668958666,0,-0.7516416709837335,2,1,-0.7049259983890862,1,-0.4282895663715403,0,1,1
0,-0.2408572253028645,3,4,0.9196891027813249,0,0,-0.8701833340815202,3,2,-0.7659772668958666,0,-0.4877843092997643,1,1,1.0270789116578085,1,-0.4282895663715403,1,1,1
3,-0.738667542842371,1,0,-0.7114592930898858,4,3,0.9184771676276685,3,2,1.0469866784197936,2,1.8869319458559584,1,2,-0.7049259983890862,3,-0.4282895663715403,0,1,1
2,-0.738667542842371,3,3,-0.637026185064472,2,2,0.9184771676276685,0,2,-1.6724592395536968,1,-0.22392694761579512,0,1,-0.7049259983890862,0,-0.4282895663715403,1,1,1
0,1.999289203624915,1,6,0.5227125266457847,2,2,0.9184771676276685,3,2,-0.7659772668958666,1,-0.9275465787730462,1,1,1.0270789116578085,3,-0.4282895663715403,0,1,0
3,2.2481943623946683,1,2,1.0061732854394247,2,0,-1.7645135849361147,3,2,0.1405047057619635,2,-0.3998318554051079,0,0,-0.7049259983890862,1,-0.4282895663715403,1,1,1
2,-0.2408572253028645,3,6,-0.41514463447442895,2,0,0.9184771676276685,3,0,-0.7659772668958666,3,0.12788286796283044,2,1,-0.7049259983890862,1,-0.4282895663715403,0,1,0
2,-0.9046043153555399,3,1,-0.7252825845803197,2,0,-0.8701833340815202,3,2,-0.7659772668958666,0,0.12788286796283044,1,1,-0.7049259983890862,1,-0.4282895663715403,1,1,1
0,-0.9875727016121243,3,6,-0.9971406505588548,2,0,0.9184771676276685,3,2,0.1405047057619635,3,-1.0154990326677027,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1,1
3,0.7547634097761486,3,6,-0.3325593289033746,1,3,0.9184771676276685,3,2,-0.7659772668958666,0,-0.4877843092997643,0,1,-0.7049259983890862,0,-0.4282895663715403,0,1,1
0,-0.738667542842371,3,6,-0.7490302904741422,1,0,0.024146916773074168,1,2,-1.6724592395536968,0,-0.8395941248783899,1,1,-0.7049259983890862,1,-0.4282895663715403,1,1,1
0,-0.2408572253028645,2,7,1.039490962365086,2,0,-0.8701833340815202,3,2,1.0469866784197936,3,0.7435500452254252,1,1,-0.7049259983890862,3,2.3348689263480744,1,1,1
1,0.7547634097761486,1,9,1.033465425048743,0,1,-1.7645135849361147,2,2,1.0469866784197936,0,-1.0154990326677027,1,2,1.0270789116578085,1,-0.4282895663715403,0,1,1
1,2.2481943623946683,1,9,1.0178699167005612,2,3,0.9184771676276685,0,2,1.0469866784197936,2,1.9748843997506147,2,0,1.0270789116578085,3,-0.4282895663715403,0,1,0
3,-0.8216359290989554,1,4,-0.6657360981599887,2,2,0.9184771676276685,0,2,1.0469866784197936,0,-0.048022039826482336,1,1,1.0270789116578085,0,-0.4282895663715403,0,1,1
3,1.2525737273156552,3,6,-0.34461040353606065,1,3,0.9184771676276685,3,2,1.0469866784197936,0,0.3037877757521432,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1,1
1,-1.2364778603818776,3,9,-0.6802682763935218,1,4,-1.7645135849361147,0,2,-0.7659772668958666,1,-1.103451486562359,1,2,-0.7049259983890862,2,-0.4282895663715403,1,1,1
3,-0.8216359290989554,1,4,1.4024409748318656,2,0,-1.7645135849361147,3,2,1.0469866784197936,1,0.3037877757521432,1,1,1.0270789116578085,3,-0.4282895663715403,0,1,1
3,-0.738667542842371,3,6,-0.4247146055062679,0,0,0.9184771676276685,0,0,-0.7659772668958666,3,-0.6636892170890771,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1,1
0,0.2569530922366421,2,3,-0.3325593289033746,4,2,0.9184771676276685,3,2,-0.7659772668958666,1,-0.5757367631944207,0,1,-0.7049259983890862,3,-0.4282895663715403,0,1,1
0,0.5058582510063954,2,9,0.9547789965647342,2,3,-1.7645135849361147,3,2,-0.7659772668958666,0,-0.4877843092997643,1,1,1.0270789116578085,0,-0.4282895663715403,1,1,1
3,-0.738667542842371,3,6,-0.7121681798329849,2,0,0.024146916773074168,3,2,-0.7659772668958666,0,-0.9275465787730462,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1,1
3,-0.2408572253028645,3,9,0.03783399436594634,4,0,-0.8701833340815202,3,2,-1.6724592395536968,1,-0.3998318554051079,1,1,-0.7049259983890862,1,-0.4282895663715403,1,1,1
0,1.2525737273156552,2,4,-0.37083921303073025,2,3,0.9184771676276685,3,2,1.0469866784197936,2,1.8869319458559584,0,0,1.0270789116578085,1,-0.4282895663715403,1,1,0
3,-1.2364778603818776,0,4,-0.8819465548052382,4,0,-1.7645135849361147,3,1,-0.7659772668958666,3,-0.8395941248783899,2,1,-0.7049259983890862,3,2.3348689263480744,0,1,1
0,-0.738667542842371,3,6,1.1330640124541778,4,4,-0.8701833340815202,3,2,-1.6724592395536968,2,1.4471696763826765,1,1,-0.7049259983890862,0,-0.4282895663715403,1,1,0
3,1.2525737273156552,1,6,2.231129577514806,2,0,-0.8701833340815202,0,2,-0.7659772668958666,0,-0.3998318554051079,2,1,1.0270789116578085,1,-0.4282895663715403,0,1,1
2,-0.2408572253028645,3,4,-0.46441226311982187,2,3,0.024146916773074168,0,2,-0.7659772668958666,0,-1.103451486562359,1,1,-0.7049259983890862,0,-0.4282895663715403,0,1,1
1,1.2525737273156552,1,3,1.0483520466538259,2,2,0.9184771676276685,0,0,1.0469866784197936,2,-1.103451486562359,1,2,1.0270789116578085,3,-0.4282895663715403,1,1,0
0,-0.9875727016121243,3,0,-0.6664449849030879,2,0,-0.8701833340815202,2,2,-1.6724592395536968,3,-0.7516416709837335,0,1,-0.7049259983890862,1,-0.4282895663715403,1,1,1
0,-0.4897623840726178,1,6,-0.6146962526568478,4,3,0.9184771676276685,3,1,1.0469866784197936,3,1.2712647685933636,1,1,1.0270789116578085,1,-0.4282895663715403,1,1,1
0,1.2525737273156552,4,0,-0.4672478100922186,2,3,0.9184771676276685,3,2,1.0469866784197936,2,2.238741761434584,1,0,-0.7049259983890862,0,-0.4282895663715403,1,1,0
0,2.2481943623946683,4,0,3.9519521463880625,2,0,-0.8701833340815202,3,2,-0.7659772668958666,0,-0.9275465787730462,1,1,-0.7049259983890862,1,-0.4282895663715403,1,1,0
3,0.2569530922366421,3,6,-0.03199134982932277,2,2,0.9184771676276685,0,2,1.0469866784197936,1,-0.8395941248783899,1,1,-0.7049259983890862,1,-0.4282895663715403,1,1,1
3,0.5058582510063954,3,7,0.6800853836138023,4,3,0.9184771676276685,3,2,1.0469866784197936,1,1.0953598608040507,1,1,4.491088731751598,1,2.3348689263480744,1,1,1
3,-0.738667542842371,3,6,-0.3899791550944081,2,2,-0.8701833340815202,0,2,-0.7659772668958666,0,-0.5757367631944207,0,1,-0.7049259983890862,1,-0.4282895663715403,0,1,1
0,-0.738667542842371,3,4,-0.8025512395781302,3,0,0.9184771676276685,2,2,-1.6724592395536968,3,-1.1914039404570154,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1,1
3,1.2525737273156552,3,2,-0.5147432218798635,2,0,0.9184771676276685,3,2,1.0469866784197936,2,0.12788286796283044,2,0,-0.7049259983890862,1,-0.4282895663715403,1,1,0
3,1.2525737273156552,3,6,-0.31093828323884964,4,0,0.9184771676276685,0,2,1.0469866784197936,0,-0.9275465787730462,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1,1
3,1.2525737273156552,3,9,1.723212226084244,2,0,-1.7645135849361147,0,2,-0.7659772668958666,1,-0.4877843092997643,0,1,-0.7049259983890862,1,-0.4282895663715403,0,1,1
3,-1.1535094741252931,1,6,-0.9007320534973665,4,3,0.9184771676276685,3,2,-0.7659772668958666,1,0.919454953014738,1,2,1.0270789116578085,3,-0.4282895663715403,1,1,1
1,-1.0705410878687087,1,5,-0.7469036302448446,2,3,0.024146916773074168,3,2,1.0469866784197936,2,1.35921722248802,0,0,1.0270789116578085,0,2.3348689263480744,1,1,1
0,1.7503840448551617,1,0,0.9508801194776887,2,1,-0.8701833340815202,0,2,-1.6724592395536968,3,0.479692683541456,0,1,1.0270789116578085,3,-0.4282895663715403,0,1,1
1,1.2525737273156552,3,2,-0.45874116917502844,4,3,0.9184771676276685,3,2,1.0469866784197936,2,0.3917402296467996,1,1,-0.7049259983890862,0,-0.4282895663715403,1,1,0
1,-0.738667542842371,1,9,-0.6185951297438933,2,3,0.9184771676276685,3,2,1.0469866784197936,2,2.678504030907866,1,0,1.0270789116578085,0,-0.4282895663715403,0,1,1
1,1.7503840448551617,3,6,0.24589225346555532,2,2,0.9184771676276685,3,2,0.1405047057619635,0,-0.13597449372113873,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1,0
0,-0.8216359290989554,2,6,0.5315736109345244,2,1,-0.8701833340815202,3,2,1.0469866784197936,1,1.35921722248802,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1,1
3,2.746004679934175,4,9,2.185051939213359,4,0,-0.8701833340815202,3,2,-0.7659772668958666,1,0.3037877757521432,1,1,-0.7049259983890862,3,2.3348689263480744,0,1,1
0,0.7547634097761486,3,3,0.19875128504945994,2,2,-0.8701833340815202,2,2,-1.6724592395536968,1,-1.1914039404570154,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1,1
3,0.2569530922366421,3,6,0.9469812423906432,4,2,-1.7645135849361147,0,2,-1.6724592395536968,0,0.7435500452254252,1,1,1.0270789116578085,1,-0.4282895663715403,1,1,0
3,-0.4897623840726178,3,6,-0.7295359050389147,1,3,0.9184771676276685,3,2,0.1405047057619635,1,1.0074074069093943,2,1,-0.7049259983890862,1,-0.4282895663715403,1,1,1
3,-0.2408572253028645,3,0,-0.6037085081388105,0,0,0.024146916773074168,0,2,1.0469866784197936,1,-1.0154990326677027,1,2,-0.7049259983890862,3,-0.4282895663715403,0,1,1
1,0.2569530922366421,3,5,-0.5374275976590372,2,3,0.9184771676276685,0,1,1.0469866784197936,3,1.9748843997506147,1,1,-0.7049259983890862,3,-0.4282895663715403,1,1,1
1,-0.9046043153555399,3,6,-0.3389393095912672,2,3,0.024146916773074168,3,2,1.0469866784197936,3,1.4471696763826765,1,1,-0.7049259983890862,3,-0.4282895663715403,0,1,1
3,-0.738667542842371,1,0,-0.6590016741005464,2,0,0.9184771676276685,0,1,-0.7659772668958666,3,-0.5757367631944207,1,1,1.0270789116578085,0,-0.4282895663715403,1,1,1
0,-0.2408572253028645,1,3,-0.7004715485718485,2,2,0.9184771676276685,0,2,-1.6724592395536968,1,-0.7516416709837335,1,1,1.0270789116578085,1,-0.4282895663715403,0,1,1
0,1.2525737273156552,3,2,3.310764087254855,0,0,-1.7645135849361147,3,2,1.0469866784197936,2,1.0074074069093943,1,0,-0.7049259983890862,1,2.3348689263480744,1,1,0
1,-0.2408572253028645,3,4,-0.36233257211354014,0,1,0.9184771676276685,3,2,0.1405047057619635,0,-0.4877843092997643,1,1,-0.7049259983890862,0,2.3348689263480744,1,1,1
1,-0.738667542842371,4,7,-0.7667524590516217,2,1,0.9184771676276685,3,2,0.1405047057619635,3,-0.6636892170890771,1,1,1.0270789116578085,1,-0.4282895663715403,0,1,0
3,-0.738667542842371,1,6,-0.9404297111109204,2,3,0.9184771676276685,3,2,1.0469866784197936,3,1.798979491961302,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1,1
1,-0.738667542842371,1,9,-0.6600650042151952,2,3,0.9184771676276685,3,2,0.1405047057619635,3,1.6230745841719891,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1,1
3,-0.738667542842371,1,6,-0.8769843476035439,4,3,0.9184771676276685,0,2,0.1405047057619635,1,-0.22392694761579512,0,1,-0.7049259983890862,3,2.3348689263480744,0,1,0
2,0.2569530922366421,1,3,0.12254596016629822,4,3,0.9184771676276685,3,0,1.0469866784197936,2,-1.3673088482463283,1,2,1.0270789116578085,1,-0.4282895663715403,0,1,1
0,-0.738667542842371,3,4,-0.6923193510262079,3,3,0.9184771676276685,3,2,1.0469866784197936,3,1.6230745841719891,1,1,-0.7049259983890862,1,-0.4282895663715403,1,1,1
0,2.746004679934175,4,0,4.492123844629637,2,2,0.024146916773074168,3,2,1.0469866784197936,2,1.9748843997506147,1,2,-0.7049259983890862,1,-0.4282895663715403,1,1,0
3,-0.738667542842371,1,2,-0.4463356511707928,4,1,0.9184771676276685,0,2,-0.7659772668958666,0,2.238741761434584,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1,1
0,-0.2408572253028645,3,0,-0.23012519452554325,0,0,0.9184771676276685,3,2,1.0469866784197936,0,-0.13597449372113873,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1,1
0,1.2525737273156552,1,6,-0.33114155541717627,2,3,0.9184771676276685,3,2,1.0469866784197936,3,0.03993041406817406,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1,1
0,-0.07492045278969563,2,9,1.3418311582968858,4,1,0.024146916773074168,3,2,1.0469866784197936,1,0.03993041406817406,0,2,1.0270789116578085,0,2.3348689263480744,1,1,1
3,0.2569530922366421,3,4,-0.6387984019222199,0,3,0.9184771676276685,2,2,1.0469866784197936,3,0.479692683541456,1,2,-0.7049259983890862,3,-0.4282895663715403,0,1,1
0,1.2525737273156552,3,6,-0.3361037626188705,2,1,0.9184771676276685,3,2,1.0469866784197936,0,-1.0154990326677027,1,2,-0.7049259983890862,1,-0.4282895663715403,0,1,1
3,-1.2364778603818776,2,6,-0.8291344924443494,2,0,0.024146916773074168,0,2,-0.7659772668958666,3,-1.0154990326677027,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1,1
0,-0.9875727016121243,1,3,-0.4792988847249046,2,1,0.9184771676276685,3,2,0.1405047057619635,0,-0.048022039826482336,1,2,-0.7049259983890862,1,-0.4282895663715403,1,1,1
3,-0.738667542842371,3,9,-0.2928616712898206,4,2,-0.8701833340815202,2,2,1.0469866784197936,0,-0.8395941248783899,1,2,-0.7049259983890862,1,-0.4282895663715403,1,1,1
0,0.2569530922366421,1,5,3.071869254830432,2,0,-0.8701833340815202,3,0,0.1405047057619635,0,0.3037877757521432,1,1,1.0270789116578085,0,2.3348689263480744,1,1,0
3,-0.2408572253028645,0,4,1.1295195787386818,2,3,-0.8701833340815202,3,2,1.0469866784197936,2,0.3037877757521432,0,1,1.0270789116578085,0,2.3348689263480744,1,1,0
0,-0.738667542842371,3,4,0.9948310975498378,2,1,-0.8701833340815202,3,2,-0.7659772668958666,0,-0.3118794015104515,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1,1
1,0.2569530922366421,3,3,1.5771815570058132,4,2,-1.7645135849361147,0,2,-0.7659772668958666,1,-0.4877843092997643,1,1,-0.7049259983890862,1,-0.4282895663715403,1,0,1
0,-0.5727307703292022,3,0,-0.6597105608436457,1,3,-1.7645135849361147,2,2,-0.7659772668958666,3,-0.048022039826482336,1,1,-0.7049259983890862,1,-0.4282895663715403,1,1,1
0,-1.2364778603818776,2,0,-0.6458872693532116,0,3,-1.7645135849361147,1,2,-0.7659772668958666,0,-0.3998318554051079,0,1,1.0270789116578085,1,2.3348689263480744,0,1,1
2,-0.4897623840726178,3,2,-1.0205339130811277,2,2,0.9184771676276685,0,2,1.0469866784197936,1,-1.103451486562359,1,2,-0.7049259983890862,1,-0.4282895663715403,1,1,1
0,-0.2408572253028645,3,4,1.0593397911718632,2,1,0.024146916773074168,3,2,0.1405047057619635,3,-0.6636892170890771,1,2,-0.7049259983890862,3,-0.4282895663715403,0,1,1
3,1.2525737273156552,1,4,1.6246769687934581,2,0,0.9184771676276685,0,2,-0.7659772668958666,3,-0.9275465787730462,2,1,1.0270789116578085,1,-0.4282895663715403,1,1,0
1,-0.738667542842371,3,6,-0.5640108505252565,1,3,0.024146916773074168,2,2,-1.6724592395536968,3,-0.048022039826482336,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1,1
3,2.2481943623946683,1,6,0.10872266867586422,4,3,0.9184771676276685,3,2,-1.6724592395536968,3,1.0074074069093943,1,1,-0.7049259983890862,1,-0.4282895663715403,1,1,1
1,1.7503840448551617,3,6,1.3833010327681878,4,1,0.9184771676276685,0,2,0.1405047057619635,0,-0.4877843092997643,1,1,-0.7049259983890862,0,-0.4282895663715403,1,1,0
1,-0.9046043153555399,1,3,-0.4038024465848421,4,2,-0.8701833340815202,0,0,0.1405047057619635,3,-0.7516416709837335,1,2,1.0270789116578085,1,-0.4282895663715403,0,0,1
1,1.003668568545902,1,3,0.3578963588752256,1,0,-1.7645135849361147,0,2,1.0469866784197936,0,-1.103451486562359,1,1,1.0270789116578085,1,-0.4282895663715403,0,1,0
0,-0.738667542842371,1,4,-0.3208626976422382,1,1,0.024146916773074168,1,2,0.1405047057619635,0,0.03993041406817406,1,1,-0.7049259983890862,0,-0.4282895663715403,1,1,1
1,0.008047933466888799,3,6,-0.5090721279350702,2,0,0.024146916773074168,0,2,-0.7659772668958666,3,-0.9275465787730462,1,1,1.0270789116578085,1,-0.4282895663715403,1,1,0
3,0.2569530922366421,1,9,0.21151124642524516,2,3,0.9184771676276685,0,2,-0.7659772668958666,0,0.479692683541456,1,2,1.0270789116578085,0,-0.4282895663715403,1,1,1
3,-0.738667542842371,3,3,-0.5328198338288926,2,0,0.024146916773074168,3,2,-0.7659772668958666,3,-1.0154990326677027,1,2,-0.7049259983890862,3,-0.4282895663715403,0,1,1
2,-0.9046043153555399,1,4,-0.8826554415483374,2,3,0.9184771676276685,3,2,1.0469866784197936,2,2.4146466692238966,1,0,1.0270789116578085,1,-0.4282895663715403,1,1,1
0,-0.2408572253028645,3,3,-0.4775266678671567,4,2,0.9184771676276685,0,2,0.1405047057619635,3,-0.7516416709837335,1,2,-0.7049259983890862,1,-0.4282895663715403,0,1,0
1,-0.738667542842371,1,4,-0.40770132367188755,2,0,0.9184771676276685,3,2,-0.7659772668958666,1,-0.4877843092997643,1,1,1.0270789116578085,1,-0.4282895663715403,0,1,1
1,-0.738667542842371,3,6,-0.9110109112723046,2,0,0.9184771676276685,2,2,-0.7659772668958666,3,0.3917402296467996,1,1,-0.7049259983890862,3,-0.4282895663715403,0,1,1
0,-0.738667542842371,3,7,-0.9329864003083791,2,0,0.9184771676276685,3,2,-0.7659772668958666,0,-0.4877843092997643,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1,0
0,-0.738667542842371,1,9,-0.5002110436463304,2,4,0.9184771676276685,3,2,-0.7659772668958666,0,-0.13597449372113873,1,1,1.0270789116578085,0,-0.4282895663715403,1,1,1
1,-0.738667542842371,1,4,0.08072164232344667,2,0,0.024146916773074168,0,0,-0.7659772668958666,3,-0.5757367631944207,1,1,1.0270789116578085,1,-0.4282895663715403,0,1,0
0,2.2481943623946683,3,4,1.8486851796127988,4,1,-1.7645135849361147,0,2,-0.7659772668958666,0,-1.0154990326677027,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1,1
1,1.2525737273156552,2,2,1.2815757851334557,2,0,0.9184771676276685,3,2,0.1405047057619635,1,-0.5757367631944207,2,1,-0.7049259983890862,1,-0.4282895663715403,1,1,0
3,-0.4897623840726178,3,3,-0.19964306457227857,2,2,-0.8701833340815202,3,2,0.1405047057619635,1,-0.7516416709837335,0,1,1.0270789116578085,3,-0.4282895663715403,0,1,1
3,-0.2408572253028645,3,3,-0.4562600655741813,2,0,0.9184771676276685,3,2,1.0469866784197936,2,1.0074074069093943,0,0,1.0270789116578085,1,-0.4282895663715403,0,1,1
3,3.2438149974736814,3,6,2.4359978462704683,0,1,-0.8701833340815202,0,2,1.0469866784197936,3,-1.279356394351672,1,1,-0.7049259983890862,1,-0.4282895663715403,1,1,1
3,-0.738667542842371,1,6,-0.7199659340070759,4,3,0.9184771676276685,0,2,-0.7659772668958666,3,0.21583532185748686,1,1,1.0270789116578085,1,-0.4282895663715403,1,1,1
3,0.5058582510063954,2,9,1.893345044428047,3,0,-0.8701833340815202,3,2,-0.7659772668958666,0,-0.7516416709837335,1,1,1.0270789116578085,1,-0.4282895663715403,0,1,1
0,-0.738667542842371,3,6,-0.8879720921215812,1,0,0.9184771676276685,3,2,0.1405047057619635,3,2.678504030907866,1,1,-0.7049259983890862,3,-0.4282895663715403,0,1,0
0,-0.4897623840726178,1,6,-0.1925541971412868,4,1,0.9184771676276685,3,1,-0.7659772668958666,3,-0.048022039826482336,0,1,2.7590838217047033,1,-0.4282895663715403,1,1,1
2,-0.738667542842371,3,6,-0.49276773284378905,2,0,-0.8701833340815202,0,2,-0.7659772668958666,0,0.7435500452254252,1,2,-0.7049259983890862,3,-0.4282895663715403,1,1,1
2,-1.2364778603818776,3,4,-0.9081753642999079,3,2,-0.8701833340815202,2,2,-0.7659772668958666,3,-0.7516416709837335,1,1,-0.7049259983890862,2,-0.4282895663715403,0,0,1
0,1.2525737273156552,3,6,0.5400802518517146,2,2,0.9184771676276685,0,2,-1.6724592395536968,2,-0.4877843092997643,1,1,-0.7049259983890862,0,-0.4282895663715403,1,1,1
1,0.5058582510063954,3,6,0.05130284248483074,2,0,0.024146916773074168,3,2,-0.7659772668958666,0,-0.7516416709837335,1,1,-0.7049259983890862,0,-0.4282895663715403,0,1,1
1,-0.2408572253028645,3,3,-0.28683613397347757,2,0,-0.8701833340815202,3,2,-0.7659772668958666,0,-1.1914039404570154,1,1,-0.7049259983890862,1,-0.4282895663715403,0,1,0
3,0.008047933466888799,1,3,-0.34850928062310615,2,2,0.9184771676276685,0,2,1.0469866784197936,1,-1.103451486562359,1,1,-0.7049259983890862,1,-0.4282895663715403,1,1,1
